company;E1-1;E1-2;E1-3;E1-4;E1-5;E1-6;E1-7;E1-8;E1-9;E2-1;E2-2;E2-3;E2-4;E2-5;E3-1;E3-2;E3-3;E3-4;E3-5;E4-1;E4-2;E4-3;E4-4;E4-5;E4-6;E5-1;E5-2;E5-3;E5-4;E5-5;E5-6;S1-1;S1-2;S1-3;S1-4;S1-5;S1-6;S1-7;S1-8;S1-9;S1-10;S1-11;S1-12;S1-13;S1-14;S1-15;S1-16;S1-17;S2-1;S2-2;S2-3;S2-4;S2-5;S3-1;S3-2;S3-3;S3-4;S3-5;S4-1;S4-2;S4-3;S4-4;S4-5;G1-1;G1-2;G1-3;G1-4;G1-5;G1-6;total_assets;total_debt;current_assets;current_liabilities;net_income;revenue;shares_out;close_price;mkt_cap;ln_assets;roa;leverage;current_ratio;ln_mcap;industry;sector;country
verbund-integrated-annual-report-2024-englisch-final-1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;18718311000.0;2298500000.0;2498240000.0;1773720000.0;1875276000.0;8244595000.0;170234000;6.871.249.389.648.430;1.169.720.268.597.410;2.365.276.807.956.640;0.1001840390407019;0.1227941986859818;14.084.748.438.310.400;23.182.615.563.495.400;Utilities - Renewable;Utilities;Austria
amsterdam commodity;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;867854000.0;255073000.0;581681000.0;287728000.0;45234000.0;1362823000.0;29617700;1.683.741.569.519.040;4.986.855.268.354.410;20.581.534.055.711.900;0.0521216702348551;0.2939123400940711;20.216.350.164.043.800;2.002.748.624.830.940;Food Distribution;Consumer Staples;Netherlands
arkema;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;15209000000.0;4554000000.0;4995000000.0;2486000000.0;354000000.0;9544000000.0;75459000;6.817.539.978.027.340;5.144.447.492.019.650;2.344.515.319.483.660;0.0232756920244592;0.2994279702807548;2.009.251.810.136.760;2.236.118.381.310.340;Specialty Chemicals;Materials;France
basf;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;80415000000.0;23995000000.0;31232000000.0;17039000000.0;1298000000.0;65260000000.0;892521984;4.012.271.118.164.060;35.810.401.787.296.800;25.110.466.562.894.000;0.0161412671765217;0.2983896039296151;1.832.971.418.510.470;2.430.150.424.086.850;Chemicals;Materials;Germany
20250407_viv_vivendi_urd_en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;0;7929000000.0;2688000000.0;239000000.0;1011000000.0;-6004000000.0;297000000.0;992233984;2.608.999.967.575.070;25.887.384.320.828.800;2.279.379.276.123.660;-0.7572203304325892;0.3390087022323118;0.2363996043521266;2.167.443.650.213.010;Entertainment;Communication Services;France
acerinox;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;6469319000.0;2383051000.0;4052592000.0;1876915000.0;224946000.0;5413128000.0;249228992;9.547.804.832.458.490;237.958.977.420.636;2.259.033.668.489.630;0.0347712023475732;0.3683619558720168;2.159.177.160.393.510;2.159.019.394.599.460;Steel;Materials;Spain
veolia_2024_urd;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;72959000000.0;19965000000.0;27809000000.0;30670000000.0;1098000000.0;44692000000.0;730304000;2.597.683.906.555.170;1.897.098.947.692.870;25.013.163.476.478.200;0.0150495483764854;0.2736468427472964;0.9067166612324749;23.666.176.779.624.100;Waste Management;Industrials;France
bam;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;3891000000.0;323200000.0;2599700000.0;2658700000.0;82200000.0;6455000000.0;263524000;4.282.344.341.278.070;11.285.005.101.909.600;22.081.932.030.948.800;0.0211256746337702;0.0830634798252377;0.9778087035017112;2.084.415.560.631.830;Engineering & Construction;Industrials;Netherlands
abn;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385047000000.0;81538000000.0;;;2403000000.0;8896000000.0;833049024;14.492.088.317.871.000;12.072.620.028.924.300;2.667.663.124.170.530;0.00624079657808;0.211761161624425;140.837.431.377.667.000;2.321.420.591.800.450;Banks - Diversified;Financials;Netherlands
barco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1228857000.0;103911000.0;794374000.0;306036000.0;62957000.0;946590000.0;85287904;9.908.108.711.242.670;845.041.824.586.029;209.293.503.060.006;0.0512321612685609;0.084559065863644;2.595.688.088.982.990;2.055.489.668.064.800;Electronic Components;Information Technology;Belgium
banca generali s.p.a;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;16821985000.0;449296000.0;;;431225000.0;1137309000.0;113949000;434.317.626.953.125;4.949.005.927.368.160;23.545.952.498.796.800;0.0256346085197436;0.0267088574862003;1.495.943.378.435.340;2.232.245.257.060.550;Banks - Regional;Financials;Italy
aalberts annual report;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4230000000.0;686600000.0;1387900000.0;1007200000.0;179100000.0;3148600000.0;108740000;3.340.211.868.286.130;3.632.146.385.574.340;221.654.678.300.046;0.0423404255319148;0.1623167848699763;13.779.785.544.082.600;2.201.308.960.127.140;Specialty Industrial Machinery;Industrials;Netherlands
altri;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1322395943.0;583417019.0;527973447.0;340827300.0;107204025.0;837898381.0;205132000;5.215.580.940.246.580;1.069.882.549.434.660;21.002.711.036.559.500;0.08106802321005;0.4411817973945493;15.490.937.697.772.400;20.790.814.712.511.900;Paper & Paper Products;Materials;Portugal
