company,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap
verbund-integrated-annual-report-2024-englisch-final-1,18718311000.0,2298500000.0,2498240000.0,1773720000.0,1875276000.0,8244595000.0,170234000,68.71249389648438,11697202685.974121,23.65276807956642,0.1001840390407019,0.12279419868598188,1.4084748438310444,23.182615563495467
amsterdam commodity,867854000.0,255073000.0,581681000.0,287728000.0,45234000.0,1362823000.0,29617700,16.83741569519043,498685526.8354416,20.581534055711977,0.05212167023485517,0.29391234009407113,2.0216350164043817,20.02748624830945
arkema,15209000000.0,4554000000.0,4995000000.0,2486000000.0,354000000.0,9544000000.0,75459000,68.17539978027344,5144447492.019653,23.445153194836642,0.023275692024459203,0.2994279702807548,2.009251810136766,22.361183813103434
basf,80415000000.0,23995000000.0,31232000000.0,17039000000.0,1298000000.0,65260000000.0,892521984,40.122711181640625,35810401787.296875,25.110466562894022,0.016141267176521795,0.2983896039296151,1.832971418510476,24.30150424086859
20250407_viv_vivendi_urd_en,7929000000.0,2688000000.0,239000000.0,1011000000.0,-6004000000.0,297000000.0,992233984,2.6089999675750732,2588738432.0828857,22.793792761236674,-0.7572203304325892,0.3390087022323118,0.23639960435212662,21.67443650213019
acerinox,6469319000.0,2383051000.0,4052592000.0,1876915000.0,224946000.0,5413128000.0,249228992,9.547804832458496,2379589774.20636,22.59033668489634,0.034771202347573214,0.3683619558720168,2.159177160393518,21.59019394599461
veolia_2024_urd,72959000000.0,19965000000.0,27809000000.0,30670000000.0,1098000000.0,44692000000.0,730304000,25.976839065551758,18970989476.92871,25.013163476478205,0.015049548376485424,0.27364684274729645,0.9067166612324747,23.666176779624173
bam,3891000000.0,323200000.0,2599700000.0,2658700000.0,82200000.0,6455000000.0,263524000,4.282344341278076,1128500510.1909637,22.081932030948828,0.021125674633770238,0.08306347982523773,0.9778087035017113,20.844155606318317
abn,385047000000.0,81538000000.0,,,2403000000.0,8896000000.0,833049024,14.492088317871094,12072620028.924316,26.67663124170537,0.0062407965780800784,0.21176116162442507,,23.21420591800459
barco,1228857000.0,103911000.0,794374000.0,306036000.0,62957000.0,946590000.0,85287904,9.908108711242676,845041824.586029,20.9293503060006,0.05123216126856095,0.08455906586364402,2.5956880889829956,20.55489668064805
