company,E1-1,E1-2,E1-3,E1-4,E1-5,E1-6,E1-7,E1-8,E1-9,E2-1,E2-2,E2-3,E2-4,E2-5,E3-1,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,E4-6,E5-1,E5-2,E5-3,E5-4,E5-5,E5-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,S1-12,S1-13,S1-14,S1-15,S1-16,S1-17,S2-1,S2-2,S2-3,S2-4,S2-5,S3-1,S3-2,S3-3,S3-4,S3-5,S4-1,S4-2,S4-3,S4-4,S4-5,G1-1,G1-2,G1-3,G1-4,G1-5,G1-6,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap,industry,country,sector
verbund-integrated-annual-report-2024-englisch-final-1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18718311000.0,2298500000.0,2498240000.0,1773720000.0,1875276000.0,8244595000.0,170234000,68.71249389648438,11697202685.97412,23.65276807956642,0.1001840390407019,0.1227941986859818,1.4084748438310444,23.182615563495467,Utilities - Renewable,Austria,Utilities
amsterdam commodity,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,867854000.0,255073000.0,581681000.0,287728000.0,45234000.0,1362823000.0,29617700,16.83741569519043,498685526.8354416,20.581534055711977,0.0521216702348551,0.2939123400940711,2.0216350164043817,20.02748624830945,Food Distribution,Netherlands,Consumer Staples
arkema,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,15209000000.0,4554000000.0,4995000000.0,2486000000.0,354000000.0,9544000000.0,75459000,68.17539978027344,5144447492.019653,23.44515319483664,0.0232756920244592,0.2994279702807548,2.009251810136766,22.36118381310344,Specialty Chemicals,France,Materials
basf,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,80415000000.0,23995000000.0,31232000000.0,17039000000.0,1298000000.0,65260000000.0,892521984,40.12271118164063,35810401787.296875,25.110466562894025,0.0161412671765217,0.2983896039296151,1.832971418510476,24.30150424086859,Chemicals,Germany,Materials
20250407_viv_vivendi_urd_en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,7929000000.0,2688000000.0,239000000.0,1011000000.0,-6004000000.0,297000000.0,992233984,2.608999967575073,2588738432.0828857,22.79379276123668,-0.7572203304325892,0.3390087022323118,0.2363996043521266,21.67443650213019,Entertainment,France,Communication Services
acerinox,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,6469319000.0,2383051000.0,4052592000.0,1876915000.0,224946000.0,5413128000.0,249228992,9.547804832458496,2379589774.20636,22.59033668489634,0.0347712023475732,0.3683619558720168,2.159177160393518,21.59019394599461,Steel,Spain,Materials
veolia_2024_urd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72959000000.0,19965000000.0,27809000000.0,30670000000.0,1098000000.0,44692000000.0,730304000,25.97683906555176,18970989476.92871,25.013163476478205,0.0150495483764854,0.2736468427472964,0.9067166612324749,23.666176779624173,Waste Management,France,Industrials
bam,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,3891000000.0,323200000.0,2599700000.0,2658700000.0,82200000.0,6455000000.0,263524000,4.282344341278076,1128500510.1909635,22.081932030948828,0.0211256746337702,0.0830634798252377,0.9778087035017112,20.84415560631832,Engineering & Construction,Netherlands,Industrials
abn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385047000000.0,81538000000.0,,,2403000000.0,8896000000.0,833049024,14.492088317871094,12072620028.924316,26.67663124170537,0.00624079657808,0.211761161624425,1.463493546886327,23.21420591800459,Banks - Diversified,Netherlands,Financials
barco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228857000.0,103911000.0,794374000.0,306036000.0,62957000.0,946590000.0,85287904,9.908108711242676,845041824.586029,20.9293503060006,0.0512321612685609,0.084559065863644,2.595688088982996,20.55489668064805,Electronic Components,Belgium,Information Technology
